# BLOCK    CURRENT_AVE          ERROR     ACCEPTANCE
    429        2.49763       0.065893       0.234326
    430         2.4986       0.065747       0.234385
    431          2.497      0.0656141       0.234537
    432        2.49858      0.0654815       0.234411
    433        2.49854      0.0653305       0.234447
    434        2.49626      0.0652201       0.234713
    435        2.49965      0.0651587       0.234748
    436         2.4982      0.0650257        0.23476
    437        2.49804      0.0648773        0.23468
    438        2.49675      0.0647422       0.234761
    439        2.48834        0.06514       0.234727
    440        2.49238      0.0651176       0.234467
    441        2.49145      0.0649767       0.234344
    442        2.49413      0.0648853       0.234424
    443        2.49217      0.0647687       0.234595
    444        2.49377      0.0646428       0.234697
    445        2.49434      0.0645001       0.234664
    446        2.49463      0.0643563       0.234519
    447        2.48897      0.0644619       0.234531
    448        2.49118      0.0643562        0.23461
    449        2.49194      0.0642175       0.234556
    450        2.48684      0.0642774       0.234457
    451        2.48228       0.064297       0.234491
    452        2.48283      0.0641573       0.234503
    453        2.48671      0.0641329       0.234493
    454        2.48328      0.0640836       0.234505
    455        2.48182      0.0639596       0.234496
    456        2.48165      0.0638197       0.234508
    457        2.48535      0.0637876       0.234454
    458        2.48691      0.0636676       0.234488
    459        2.48228      0.0636977       0.234587
    460         2.4844       0.063595       0.234555
    461        2.48458      0.0634574       0.234502
    462        2.48425      0.0633211       0.234557
    463        2.48668      0.0632313       0.234612
    464        2.48962      0.0631637       0.234409
    465        2.48817      0.0630448       0.234442
    466        2.49052      0.0629537       0.234454
    467        2.49193      0.0628349       0.234444
    468        2.49053      0.0627164       0.234456
    469        2.49419      0.0626898       0.234404
    470        2.49283      0.0625713       0.234395
    471        2.49682      0.0625662       0.234301
    472        2.49831      0.0624516       0.234355
    473         2.4964      0.0623489       0.234388
    474        2.48676      0.0629604       0.234505
    475        2.49141      0.0629994       0.234349
    476         2.4928      0.0628828       0.234298
    477        2.49198      0.0627566       0.234331
    478        2.48931      0.0626823       0.234384
    479        2.48954       0.062552       0.234417
    480        2.48787      0.0624441       0.234407
    481        2.48625      0.0623356       0.234378
    482        2.48619      0.0622065       0.234472
    483        2.48455      0.0620996       0.234442
    484        2.48448      0.0619715       0.234371
    485        2.48888      0.0619999       0.234259
    486        2.48749      0.0618881       0.234209
    487        2.48538      0.0617974       0.234242
    488        2.48607      0.0616748       0.234376
    489        2.48916      0.0616265        0.23449
    490        2.48487       0.061651       0.234481
    491        2.48952      0.0617015       0.234228
    492        2.49335       0.061695       0.234178
    493        2.49429      0.0615772       0.234271
    494        2.49616      0.0614812       0.234404
    495        2.50059      0.0615165       0.234274
    496        2.50325      0.0614504       0.234165
    497        2.50333       0.061327       0.234237
    498        2.50377      0.0612055       0.234188
    499        2.49721      0.0614342        0.23436
    500        2.49578      0.0613281       0.234531
    501        2.49804      0.0612474       0.234363
    502        2.49664      0.0611414       0.234453
    503        2.49843       0.061046       0.234504
    504        2.49877      0.0609259       0.234455
    505        2.50074      0.0608375       0.234763
    506        2.50356      0.0607828       0.234852
    507        2.50331      0.0606636       0.234961
    508        2.50225      0.0605536       0.235049
    509        2.50284      0.0604377       0.235118
    510        2.50432      0.0603374       0.235323
    511        2.50199      0.0602646        0.23541
    512        2.50184      0.0601472       0.235497
    513         2.5045      0.0600891       0.235467
    514        2.50198      0.0600253       0.235534
    515        2.49657      0.0601527       0.235465
    516        2.49667      0.0600363       0.235513
    517        2.49972      0.0599977       0.235405
    518        2.50268       0.059955       0.235395
    519        2.50461      0.0598708       0.235327
    520        2.50361      0.0597642       0.235374
    521        2.50667       0.059728       0.235287
    522        2.50672      0.0596138        0.23543
    523        2.50843      0.0595245       0.235229
    524        2.50953      0.0594211       0.235238
    525        2.50724      0.0593522       0.235285
    526        2.50751      0.0592401       0.235199
    527        2.50738      0.0591279       0.235265
    528        2.50985      0.0590679       0.235217
    529        2.50809      0.0589828       0.235094
    530        2.50449      0.0589813       0.235028
    531        2.50143      0.0589501       0.235019
    532        2.50242      0.0588478       0.235009
    533        2.50442      0.0587713       0.235056
    534        2.50246      0.0586939       0.235178
    535        2.50288      0.0585859       0.235149
    536        2.50159      0.0584911       0.235214
    537        2.50126      0.0583832       0.235056
    538        2.50071      0.0582773       0.235306
    539        2.50153      0.0581751       0.235296
    540        2.49955      0.0581011        0.23525
    541        2.49849      0.0580035       0.235387
    542        2.49886      0.0578978       0.235359
    543        2.49887      0.0577913       0.235515
    544        2.50082      0.0577179        0.23545
    545        2.50029      0.0576146       0.235458
    546        2.49586      0.0576794        0.23543
    547        2.49943      0.0576844       0.235292
    548        2.50007      0.0575829       0.235282
    549        2.50206      0.0575124       0.235364
    550        2.50731      0.0576471       0.235154
    551        2.51009      0.0576099       0.235109
    552        2.51172      0.0575288       0.234991
    553        2.50645       0.057667       0.234892
    554        2.50651      0.0575631       0.234883
    555        2.50717      0.0574632        0.23491
    556        2.50641       0.057365       0.234973
    557        2.50263      0.0573865       0.235125
    558        2.50228      0.0572849       0.234937
    559        2.50497      0.0572457       0.234875
    560        2.50605      0.0571537        0.23492
    561        2.50578      0.0570526       0.235018
    562        2.50725      0.0569701       0.235115
    563        2.50807      0.0568749       0.235053
    564        2.50897      0.0567813       0.235097
    565        2.51056      0.0567031       0.235018
    566        2.51142      0.0566097       0.235009
    567        2.50648      0.0567253       0.235018
    568        2.50871      0.0566692       0.234851
    569        2.50526      0.0566747       0.234754
    570        2.50391      0.0565915       0.234799
    571        2.50479      0.0564992       0.234773
    572         2.5053      0.0564028       0.234729
    573        2.50652      0.0563177       0.234652
    574        2.50928      0.0562874       0.234887
    575         2.5076      0.0562146       0.234913
    576        2.50253      0.0563461       0.234991
    577        2.50141      0.0562595       0.235104
    578        2.50176      0.0561634       0.235112
    579        2.50257      0.0560723       0.235103
    580        2.50146      0.0559866       0.235077
    581         2.5007      0.0558955        0.23512
    582        2.50049         0.0558       0.235232
    583        2.50273      0.0557491       0.235188
    584         2.5014      0.0556696       0.235179
    585        2.49834      0.0556586       0.235137
    586        2.49943      0.0555744       0.235145
    587        2.49689      0.0555381          0.235
    588        2.49768      0.0554493       0.234941
    589        2.49886       0.055368       0.234932
    590        2.49796      0.0552816       0.234958
    591        2.49648       0.055208       0.234949
    592         2.4959      0.0551179       0.235008
    593        2.49339      0.0550824       0.235017
    594        2.49343      0.0549898       0.234975
    595        2.49464      0.0549106       0.234883
    596         2.4937      0.0548266       0.234841
    597        2.49406       0.054736       0.234916
    598        2.49618      0.0546856       0.234925
    599        2.49551      0.0545985        0.23495
    600        2.49611      0.0545108       0.235058
    601        2.49545      0.0544242       0.235033
    602        2.49063      0.0545472       0.235058
    603        2.49336      0.0545253       0.235083
    604        2.49525      0.0544677       0.235074
    605        2.49658      0.0543941       0.234917
    606        2.49688      0.0543052       0.234942
    607        2.49546      0.0542344       0.234967
    608        2.49917      0.0542722        0.23486
    609        2.49806      0.0541946       0.234902
    610        2.50013      0.0541458       0.234763
    611         2.5021      0.0540929       0.234755
    612        2.50412      0.0540422       0.234682
    613          2.505      0.0539614       0.234658
    614         2.5066      0.0538973       0.234569
    615        2.50234      0.0539779       0.234578
    616        2.50459      0.0539369       0.234506
    617         2.4953       0.054645       0.234547
    618        2.49265      0.0546206       0.234588
    619        2.49069      0.0545679       0.234613
    620        2.48858      0.0545206       0.234654
    621        2.49137      0.0545042       0.234598
    622        2.48739      0.0545616       0.234559
    623        2.48998      0.0545358       0.234487
    624        2.48926      0.0544533       0.234448
    625         2.4909      0.0543908       0.234361
    626        2.49469      0.0544363       0.234354
    627        2.49704      0.0544005       0.234283
    628        2.49699       0.054314        0.23434
    629        2.49849      0.0542485       0.234302
    630        2.49846      0.0541624       0.234311
    631        2.49609      0.0541287       0.234288
    632        2.49588      0.0540435       0.234265
    633        2.49399      0.0539911       0.234227
    634        2.49369      0.0539069        0.23422
    635        2.49529      0.0538458       0.234198
    636        2.49296      0.0538117       0.234254
    637        2.49344      0.0537295       0.234232
    638        2.48762      0.0539604       0.234178
    639        2.48916      0.0538978       0.234062
    640        2.48868      0.0538158       0.234134
    641        2.48805      0.0537355       0.234097
    642        2.49086      0.0537252       0.234152
    643         2.4941      0.0537399       0.234115
    644         2.4953      0.0536699       0.234078
    645        2.49533      0.0535867       0.234056
    646        2.49553      0.0535042       0.234096
    647        2.49684      0.0534376       0.234059
    648        2.49497      0.0533879       0.234022
    649        2.49416      0.0533118       0.234077
    650         2.4959      0.0532581       0.234071
    651        2.49677      0.0531834       0.234095
    652        2.49807       0.053118        0.23415
    653        2.49675      0.0530532        0.23422
    654        2.48738      0.0537951       0.234198
    655        2.48906      0.0537393       0.234253
    656        2.49043      0.0536751       0.234216
    657        2.48956      0.0536005        0.23421
    658        2.49017      0.0535226       0.234097
    659        2.49286       0.053509       0.234121
    660        2.49226      0.0534313       0.234145
    661         2.4925       0.053351       0.234169
    662        2.49358      0.0532815       0.234087
    663        2.48903      0.0533956       0.234111
    664        2.48698      0.0533543       0.234241
    665        2.48751      0.0532767       0.234189
    666        2.48649      0.0532065       0.234228
    667        2.48611      0.0531282       0.234237
    668         2.4889      0.0531223       0.234141
    669        2.49038      0.0530636       0.234104
    670        2.48558      0.0532019       0.234277
    671        2.48225       0.053227        0.23436
    672        2.48123      0.0531575       0.234502
    673        2.48342      0.0531239       0.234466
    674        2.48113      0.0530944       0.234519
    675        2.48186      0.0530207       0.234571
    676        2.48467      0.0530171        0.23452
    677        2.48556      0.0529463       0.234528
    678        2.48357      0.0529057       0.234595
    679        2.47862      0.0530593       0.234632
    680        2.47767      0.0529899       0.234567
    681        2.47745      0.0529126        0.23456
    682        2.47923      0.0528652       0.234568
    683        2.47884      0.0527893       0.234678
    684        2.47826      0.0527154       0.234818
    685        2.47273      0.0529279       0.234869
    686        2.47423       0.052872       0.234847
    687        2.47722      0.0528798        0.23484
    688        2.47497      0.0528508        0.23492
    689        2.47379      0.0527874       0.234913
    690        2.47181      0.0527483       0.234964
    691        2.47333      0.0526939        0.23487
    692        2.46982      0.0527344       0.234921
    693        2.46938      0.0526602       0.234914
    694        2.46913      0.0525849       0.234906
    695        2.47097      0.0525415       0.234971
    696        2.47296      0.0525037       0.234878
    697        2.47141      0.0524514       0.234756
    698        2.47351      0.0524187       0.234707
    699        2.47257      0.0523523       0.234657
    700        2.47067      0.0523121       0.234736
    701        2.47253      0.0522707       0.234758
    702        2.46953      0.0522828       0.234723
    703        2.47008      0.0522114       0.234687
    704        2.46777      0.0521885       0.234681
    705        2.46999      0.0521616       0.234533
    706        2.47322      0.0521878       0.234399
    707        2.47375      0.0521167       0.234336
    708        2.47452      0.0520489       0.234344
    709        2.47213      0.0520304       0.234324
    710         2.4729      0.0519628       0.234219
    711        2.47489       0.051928       0.234171
    712        2.47726      0.0519093       0.234137
    713        2.47368      0.0519598       0.234118
    714        2.47355      0.0518872       0.234112
    715        2.47522      0.0518414       0.234078
    716        2.47411       0.051781       0.234059
    717        2.47495      0.0517157       0.234011
    718        2.47411      0.0516506       0.233992
    719        2.47421      0.0515789       0.234042
    720        2.47541      0.0515211        0.23405
    721        2.47328      0.0514935       0.233989
    722        2.47231      0.0514313       0.234094
    723        2.46985      0.0514195       0.233992
    724        2.46986      0.0513485       0.234041
    725        2.46683      0.0513672       0.233953
    726        2.46809      0.0513119        0.23392
    727        2.46739      0.0512461       0.233942
    728        2.46914      0.0512056       0.233923
    729        2.47146      0.0511879        0.23389
    730        2.47133       0.051118        0.23383
    731        2.47258      0.0510634       0.233784
    732        2.47336      0.0509997       0.233697
    733        2.47491      0.0509536       0.233624
    734         2.4701      0.0511111        0.23366
    735        2.46999      0.0510417       0.233601
    736        2.46526      0.0511915       0.233528
    737        2.46073       0.051323       0.233469
    738         2.4614       0.051258       0.233532
    739        2.46305      0.0512152         0.2335
    740        2.46468       0.051172       0.233482
    741        2.46519      0.0511055       0.233437
    742        2.46829      0.0511309       0.233405
    743        2.46783      0.0510642       0.233414
