BLK #        BLK_AVE    CURRENT_AVE          ERROR
468        1695.94           1961        22.1895
469        1695.94           1960        22.2314
470        1694.96           1960        22.0848
471        1694.78           1959        22.1275
472        1694.78           1959         21.982
473        1694.78           1958        22.0259
474        1694.78           1958        21.8816
475        1694.78           1957        21.9267
476        1694.78           1956        21.9718
477        1694.78           1956        21.8297
478        1694.78           1955         21.876
479        1694.78           1955         21.735
480        1692.66           1954        21.7817
481        1692.66           1954        21.6413
482        1692.66           1953         21.689
483        1692.66           1953        21.5496
484        1692.66           1952        21.5984
485        1692.66           1952        21.4602
486        1692.66           1951        21.5101
487        1692.66           1951         21.373
488         1692.1           1950        21.4237
489         1692.1           1949        21.4745
490         1692.1           1949        21.3393
491         1692.1           1948        21.3911
492         1692.1           1948         21.257
493         1692.1           1947        21.3097
494         1692.1           1947        21.1768
495         1692.1           1946        21.2305
496        1687.68           1946        21.0972
497        1687.68           1945        21.1503
498        1687.68           1945        21.0182
499        1687.68           1944        21.0723
500        1687.68           1944        20.9412
