GEN #         BEST_L         L_MEAN
455        1821.11        1861.29
456        1820.87        1835.07
457        1820.87        1856.13
458        1820.87        1856.27
459        1820.87        1859.91
460        1820.87         1850.8
461        1820.87        1853.39
462        1820.87        1853.67
463        1820.87        1858.62
464        1820.87        1856.19
465        1820.87        1863.21
466        1820.87        1853.57
467        1820.87         1865.3
468        1820.87         1859.1
469        1820.87        1875.63
470        1820.87        1846.89
471        1820.87        1870.18
472        1820.87        1846.37
473        1819.51        1845.29
474        1819.51        1854.92
475        1819.51        1858.49
476           1819        1867.42
477           1819        1847.65
478           1819        1847.68
479           1819         1862.9
480        1817.84        1847.91
481        1817.84        1865.95
482        1817.84        1848.91
483        1817.84         1861.5
484        1817.84        1868.33
485        1817.84        1855.65
486        1817.84        1863.06
487        1817.84        1851.63
488        1817.71        1848.61
489        1817.71        1847.47
490        1817.71        1853.48
491        1817.71        1842.82
492         1817.5        1858.51
493         1817.5        1859.81
494        1816.43        1838.98
495        1816.43        1856.48
496        1816.43         1862.1
497        1816.43        1847.17
498        1816.43        1851.71
499        1816.43        1857.96
500        1816.43        1838.34
