#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         326    0.799697    0.799481  0.00387895
         327    0.801488    0.799487  0.00386709
         328    0.821867    0.799555   0.0038559
         329    0.848042    0.799702    0.003847
         330    0.843556    0.799835  0.00383763
         331    0.804511    0.799849  0.00382606
         332    0.769811    0.799759  0.00381561
         333    0.780733    0.799702  0.00380458
         334    0.811964    0.799738  0.00379337
         335    0.812515    0.799777  0.00378223
         336    0.805663    0.799794  0.00377102
         337    0.805966    0.799812  0.00375987
         338    0.772473    0.799731  0.00374962
         339    0.718974    0.799493  0.00374612
         340    0.697688    0.799194  0.00374705
         341    0.733102       0.799  0.00374107
         342    0.791343    0.798978   0.0037302
         343    0.822028    0.799045  0.00371993
         344    0.822745    0.799114  0.00370975
         345    0.821773    0.799179  0.00369958
         346    0.833801    0.799279  0.00369024
         347    0.848998    0.799423  0.00368238
         348    0.848632    0.799564  0.00367452
         349    0.813552    0.799604  0.00366421
         350    0.748317    0.799458  0.00365667
         351    0.703062    0.799183  0.00365655
         352     0.72188    0.798963  0.00365275
         353    0.793842    0.798949  0.00364243
         354     0.85432    0.799105   0.0036355
         355     0.86712    0.799297   0.0036303
         356    0.843677    0.799422  0.00362224
         357    0.805566    0.799439  0.00361214
         358    0.788142    0.799407  0.00360219
         359    0.799515    0.799408  0.00359215
         360    0.795295    0.799396  0.00358219
         361    0.762215    0.799293  0.00357375
         362    0.732781    0.799109   0.0035686
         363    0.719125    0.798889  0.00356556
         364     0.71241    0.798651  0.00356367
         365    0.726942    0.798455  0.00355932
         366    0.773232    0.798386  0.00355026
         367    0.832888     0.79848  0.00354183
         368    0.880284    0.798702  0.00353918
         369    0.902016    0.798982  0.00354064
         370    0.890722     0.79923  0.00353975
         371    0.852982    0.799375  0.00353317
         372    0.817062    0.799423  0.00352399
         373    0.794738     0.79941  0.00351457
         374    0.791926     0.79939  0.00350523
         375    0.793037    0.799373  0.00349592
         376    0.781798    0.799327  0.00348693
         377     0.76322    0.799231    0.003479
         378    0.745227    0.799088  0.00347273
         379     0.72129    0.798883  0.00346963
         380    0.729713    0.798701  0.00346527
         381     0.80993     0.79873   0.0034563
         382    0.887605    0.798963  0.00345507
         383    0.882071     0.79918  0.00345286
         384    0.826413    0.799251  0.00344459
         385     0.79716    0.799245  0.00343565
         386    0.814848    0.799286  0.00342699
         387    0.848757    0.799413  0.00342052
         388    0.837871    0.799513  0.00341314
         389    0.788847    0.799485  0.00340447
         390     0.77219    0.799415  0.00339646
         391    0.799977    0.799417  0.00338778
         392     0.82413     0.79948  0.00337972
         393    0.798879    0.799478  0.00337112
         394    0.730733    0.799304  0.00336708
         395    0.683732    0.799011  0.00337124
         396    0.717058    0.798804  0.00336907
         397     0.79947    0.798806  0.00336059
         398    0.853817    0.798944  0.00335499
         399    0.864594    0.799109  0.00335061
         400    0.833777    0.799195  0.00334335
         401    0.787063    0.799165  0.00333515
         402    0.766235    0.799083  0.00332786
         403    0.768483    0.799007  0.00332047
         404    0.785612    0.798974  0.00331242
         405    0.819869    0.799026  0.00330464
         406    0.845468     0.79914  0.00329848
         407    0.844865    0.799252  0.00329229
         408    0.825164    0.799316  0.00328483
         409    0.791166    0.799296  0.00327686
         410     0.77322    0.799232  0.00326949
         411    0.794016     0.79922  0.00326156
         412    0.827103    0.799287  0.00325434
         413    0.837585     0.79938  0.00324778
         414    0.838967    0.799476  0.00324134
         415    0.862075    0.799626  0.00323704
         416    0.876182     0.79981  0.00323449
         417    0.854273    0.799941  0.00322937
         418    0.804057    0.799951  0.00322166
         419    0.754183    0.799842  0.00321582
         420    0.737064    0.799692  0.00321163
         421    0.749801    0.799574  0.00320619
         422    0.759204    0.799478  0.00320002
         423    0.748794    0.799358   0.0031947
         424    0.737747    0.799213  0.00319047
         425    0.752273    0.799102  0.00318487
         426     0.78685    0.799074  0.00317752
         427    0.811433    0.799103  0.00317021
         428    0.819866    0.799151  0.00316318
         429    0.805765    0.799167  0.00315584
         430    0.775523    0.799112  0.00314898
         431     0.76835     0.79904  0.00314248
         432    0.790321     0.79902  0.00313527
         433    0.802489    0.799028  0.00312804
         434    0.801456    0.799034  0.00312084
         435    0.817068    0.799075  0.00311394
         436    0.853798    0.799201  0.00310933
         437    0.874171    0.799372  0.00310694
         438    0.847902    0.799483  0.00310182
         439    0.785667    0.799451  0.00309492
         440    0.740705    0.799318  0.00309076
         441    0.756441    0.799221  0.00308528
         442    0.796627    0.799215  0.00307831
         443    0.816188    0.799253   0.0030716
         444    0.809192    0.799276  0.00306476
         445    0.783456     0.79924  0.00305808
         446    0.749813    0.799129  0.00305323
         447    0.719698    0.798952  0.00305157
         448    0.728322    0.798794  0.00304883
         449    0.798368    0.798793  0.00304204
         450    0.891272    0.798998  0.00304221
         451    0.936677    0.799304  0.00305074
         452     0.90632     0.79954  0.00305317
         453    0.827166    0.799601  0.00304704
         454    0.762429     0.79952  0.00304142
         455    0.746443    0.799403  0.00303698
         456    0.750254    0.799295  0.00303223
         457     0.76169    0.799213  0.00302671
         458    0.796353    0.799207  0.00302011
         459    0.819132     0.79925  0.00301384
         460    0.809726    0.799273  0.00300737
         461    0.803967    0.799283  0.00300087
         462    0.821478    0.799331  0.00299476
         463    0.827384    0.799392   0.0029889
         464    0.810253    0.799415  0.00298255
         465    0.800753    0.799418  0.00297614
         466    0.801521    0.799422  0.00296976
         467    0.794895    0.799413  0.00296341
         468    0.784197     0.79938  0.00295726
         469    0.778649    0.799336  0.00295128
         470    0.775643    0.799286  0.00294543
         471     0.77219    0.799228  0.00293974
         472    0.760198    0.799145  0.00293468
         473    0.739446    0.799019  0.00293119
         474    0.746613    0.798909  0.00292709
         475     0.79194    0.798894  0.00292096
         476    0.841193    0.798983  0.00291618
         477    0.875116    0.799142  0.00291443
         478       0.888    0.799328  0.00291425
         479    0.876532    0.799489  0.00291262
         480    0.846964    0.799588  0.00290823
         481    0.806817    0.799603  0.00290222
         482    0.755522    0.799512  0.00289764
         483    0.728446    0.799365  0.00289538
         484    0.752728    0.799268    0.002891
         485    0.795707    0.799261  0.00288505
         486    0.814733    0.799293  0.00287929
         487    0.811312    0.799318  0.00287348
         488    0.815235     0.79935  0.00286778
