SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    266      0.0112782      -0.446454     0.00244161        0.72024
    267       0.011236      -0.443607     0.00234162        0.71653
    268       0.011194      -0.445209     0.00197437        0.71414
    269      0.0111524      -0.447181     0.00211188        0.71944
    270      0.0111111      -0.447377     0.00222313        0.71348
    271      0.0110701      -0.443698     0.00249912        0.71954
    272      0.0110294      -0.444905     0.00236911        0.72311
    273       0.010989      -0.434208     0.00504283        0.72532
    274      0.0109489      -0.442127     0.00276932        0.72133
    275      0.0109091       -0.43851     0.00295771        0.72907
    276      0.0108696      -0.434392       0.003611        0.72396
    277      0.0108303      -0.441135     0.00287674         0.7325
    278      0.0107914      -0.443917     0.00298929          0.729
    279      0.0107527       -0.43939     0.00305844        0.72226
    280      0.0107143      -0.443348     0.00261665        0.72255
    281      0.0106762      -0.443698     0.00234244        0.71952
    282      0.0106383      -0.440326     0.00284523        0.71364
    283      0.0106007      -0.441899     0.00249532        0.71407
    284      0.0105634      -0.447096     0.00207667        0.71768
    285      0.0105263      -0.442027     0.00259836        0.72106
    286      0.0104895      -0.446886     0.00229813        0.72587
    287       0.010453      -0.447609     0.00204409        0.71473
    288      0.0104167       -0.44175     0.00236398        0.71461
    289      0.0103806      -0.445859     0.00193902        0.71944
    290      0.0103448      -0.437992     0.00233207        0.70905
    291      0.0103093      -0.441346     0.00198653        0.71336
    292       0.010274      -0.441079     0.00209644        0.70498
    293      0.0102389      -0.438033     0.00216392        0.70063
    294      0.0102041      -0.434136     0.00217951        0.69268
    295      0.0101695      -0.436719     0.00242624        0.69561
    296      0.0101351      -0.439063     0.00223239        0.70008
    297       0.010101      -0.430818     0.00246138        0.68993
    298      0.0100671      -0.437815     0.00212445        0.69191
    299      0.0100334       -0.43447     0.00269603        0.69003
    300           0.01      -0.435282     0.00205795        0.68696
