#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         561     1.73866     1.89018   0.0196509
         562      1.7382     1.88991   0.0196178
         563     1.73773     1.88964   0.0195848
         564     1.73725     1.88937   0.0195519
         565     1.73676      1.8891   0.0195192
         566     1.73626     1.88883   0.0194866
         567     1.73575     1.88856   0.0194541
         568     1.73522     1.88829   0.0194217
         569     1.73469     1.88802   0.0193894
         570     1.73414     1.88775   0.0193573
         571     1.73357     1.88748   0.0193253
         572       1.733     1.88721   0.0192934
         573     1.73241     1.88694   0.0192616
         574      1.7318     1.88667   0.0192299
         575     1.73118      1.8864   0.0191984
         576     1.73054     1.88613    0.019167
         577     1.72989     1.88586   0.0191357
         578     1.72922     1.88559   0.0191045
         579     1.72853     1.88531   0.0190734
         580     1.72782     1.88504   0.0190424
         581      1.7271     1.88477   0.0190116
         582     1.72635      1.8845   0.0189809
         583     1.72558     1.88423   0.0189503
         584     1.72479     1.88395   0.0189198
         585     1.72397     1.88368   0.0188894
         586     1.72313     1.88341   0.0188592
         587     1.72227     1.88313   0.0188291
         588     1.72139     1.88286   0.0187991
         589     1.72048     1.88258   0.0187692
         590     1.71954      1.8823   0.0187394
         591     1.71858     1.88203   0.0187097
         592     1.71759     1.88175   0.0186802
         593     1.71657     1.88147   0.0186508
         594     1.71552     1.88119   0.0186214
         595     1.71445     1.88091   0.0185923
         596     1.71335     1.88063   0.0185632
         597     1.71221     1.88035   0.0185342
         598     1.71106     1.88006   0.0185054
         599     1.70987     1.87978   0.0184767
         600     1.70865      1.8795   0.0184481
         601      1.7074     1.87921   0.0184196
         602     1.70613     1.87892   0.0183913
         603     1.70482     1.87863    0.018363
         604     1.70349     1.87834   0.0183349
         605     1.70213     1.87805   0.0183069
         606     1.70074     1.87776   0.0182791
         607     1.69932     1.87746   0.0182513
         608     1.69788     1.87717   0.0182237
         609     1.69641     1.87687   0.0181962
         610     1.69492     1.87657   0.0181688
         611      1.6934     1.87627   0.0181415
         612     1.69186     1.87597   0.0181144
         613     1.69029     1.87567   0.0180874
         614     1.68871     1.87537   0.0180605
         615      1.6871     1.87506   0.0180337
         616     1.68547     1.87475   0.0180071
         617     1.68383     1.87444   0.0179805
         618     1.68217     1.87413   0.0179541
         619     1.68049     1.87382   0.0179278
         620      1.6788      1.8735   0.0179017
         621     1.67709     1.87319   0.0178757
         622     1.67537     1.87287   0.0178497
         623     1.67364     1.87255    0.017824
         624      1.6719     1.87223   0.0177983
         625     1.67015      1.8719   0.0177728
         626     1.66839     1.87158   0.0177473
         627     1.66663     1.87125    0.017722
         628     1.66486     1.87092   0.0176969
         629     1.66308     1.87059   0.0176718
         630      1.6613     1.87026   0.0176469
         631     1.65952     1.86993   0.0176221
         632     1.65773     1.86959   0.0175974
         633     1.65594     1.86925   0.0175728
         634     1.65415     1.86892   0.0175484
         635     1.65236     1.86857   0.0175241
         636     1.65056     1.86823   0.0174999
         637     1.64877     1.86789   0.0174758
         638     1.64697     1.86754   0.0174518
         639     1.64518     1.86719    0.017428
         640     1.64338     1.86684   0.0174043
         641     1.64158     1.86649   0.0173807
         642     1.63979     1.86614   0.0173572
         643     1.63799     1.86578   0.0173338
         644     1.63619     1.86543   0.0173106
         645     1.63439     1.86507   0.0172874
         646     1.63259     1.86471   0.0172644
         647     1.63079     1.86435   0.0172415
         648     1.62898     1.86398   0.0172187
         649     1.62718     1.86362   0.0171961
         650     1.62536     1.86325   0.0171735
         651     1.62355     1.86288   0.0171511
         652     1.62173     1.86251   0.0171288
         653     1.61991     1.86214   0.0171066
         654     1.61808     1.86177   0.0170845
         655     1.61625      1.8614   0.0170625
         656     1.61442     1.86102   0.0170406
         657     1.61258     1.86064   0.0170189
         658     1.61073     1.86026   0.0169973
         659     1.60888     1.85988   0.0169758
         660     1.60702      1.8595   0.0169544
         661     1.60516     1.85911   0.0169331
         662     1.60329     1.85872   0.0169119
         663     1.60142     1.85834   0.0168909
         664     1.59955     1.85795   0.0168699
         665     1.59767     1.85756   0.0168491
         666     1.59578     1.85716   0.0168284
         667      1.5939     1.85677   0.0168078
         668     1.59201     1.85637   0.0167873
         669     1.59012     1.85597   0.0167669
         670     1.58823     1.85557   0.0167466
         671     1.58634     1.85517   0.0167265
         672     1.58446     1.85477   0.0167064
         673     1.58258     1.85437   0.0166865
