#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         346    -3.43177    -3.42492 0.000510543
         347    -3.43207    -3.42494 0.000509487
         348    -3.43192    -3.42496 0.000508417
         349    -3.43175    -3.42498 0.000507332
         350    -3.43159      -3.425 0.000506234
         351    -3.43158    -3.42502 0.000505138
         352    -3.43156    -3.42504 0.000504044
         353    -3.43139    -3.42506 0.000502937
         354    -3.43151    -3.42508 0.000501846
         355    -3.43179    -3.42509 0.000500789
         356    -3.43191    -3.42511 0.000499748
         357    -3.43202    -3.42513 0.000498722
         358    -3.43138    -3.42515 0.000497635
         359    -3.43104    -3.42517  0.00049652
         360     -3.4313    -3.42518 0.000495433
         361    -3.43096     -3.4252 0.000494319
         362    -3.43106    -3.42522 0.000493219
         363    -3.43102    -3.42523 0.000492119
         364    -3.43051    -3.42525 0.000490981
         365    -3.43031    -3.42526 0.000489832
         366    -3.43071    -3.42528  0.00048872
         367    -3.43081    -3.42529 0.000487622
         368    -3.43076    -3.42531 0.000486523
         369    -3.43041    -3.42532 0.000485401
         370     -3.4299    -3.42533 0.000484247
         371    -3.42984    -3.42534 0.000483094
         372    -3.42964    -3.42536 0.000481934
         373    -3.42928    -3.42537 0.000480757
         374    -3.42893    -3.42538 0.000479566
         375    -3.42873    -3.42538  0.00047837
         376    -3.42867    -3.42539 0.000477178
         377    -3.42863     -3.4254 0.000475989
         378    -3.42858    -3.42541 0.000474804
         379    -3.42853    -3.42542 0.000473623
         380    -3.42864    -3.42543 0.000472452
         381     -3.4286    -3.42543 0.000471285
         382    -3.42825    -3.42544 0.000470109
         383    -3.42807    -3.42545 0.000468932
         384    -3.42788    -3.42546 0.000467753
         385      -3.428    -3.42546 0.000466585
         386    -3.42812    -3.42547 0.000465427
         387    -3.42824    -3.42548 0.000464279
         388    -3.42791    -3.42548 0.000463125
         389    -3.42789    -3.42549 0.000461976
         390    -3.42712    -3.42549  0.00046081
         391     -3.4268     -3.4255 0.000459644
         392    -3.42663     -3.4255  0.00045848
         393    -3.42677     -3.4255 0.000457325
         394    -3.42662    -3.42551 0.000456173
         395    -3.42631    -3.42551 0.000455023
         396    -3.42631    -3.42551 0.000453878
         397    -3.42646    -3.42551 0.000452741
         398    -3.42646    -3.42551  0.00045161
         399    -3.42631    -3.42552 0.000450483
         400    -3.42662    -3.42552 0.000449365
         401    -3.42663    -3.42552 0.000448253
         402    -3.42649    -3.42552 0.000447144
         403    -3.42651    -3.42553 0.000446042
         404    -3.42668    -3.42553 0.000444947
         405     -3.4267    -3.42553 0.000443857
         406    -3.42687    -3.42554 0.000442776
         407    -3.42674    -3.42554 0.000441698
         408    -3.42692    -3.42554 0.000440628
         409    -3.42664    -3.42554 0.000439559
         410    -3.42682    -3.42555 0.000438498
         411    -3.42715    -3.42555 0.000437449
         412    -3.42688    -3.42555 0.000436399
         413    -3.42692    -3.42556 0.000435355
         414     -3.4268    -3.42556 0.000434314
         415    -3.42699    -3.42556 0.000433281
         416    -3.42672    -3.42557 0.000432248
         417    -3.42676    -3.42557 0.000431221
         418    -3.42665    -3.42557 0.000430197
         419    -3.42654    -3.42557 0.000429177
         420    -3.42659    -3.42558 0.000428162
         421    -3.42648    -3.42558  0.00042715
         422    -3.42652    -3.42558 0.000426144
         423    -3.42642    -3.42558 0.000425141
         424    -3.42602    -3.42558 0.000424139
         425    -3.42622    -3.42559 0.000423144
         426    -3.42627    -3.42559 0.000422154
         427    -3.42647    -3.42559  0.00042117
         428    -3.42667    -3.42559 0.000420194
         429    -3.42673     -3.4256 0.000419222
         430    -3.42678     -3.4256 0.000418257
         431    -3.42684     -3.4256 0.000417296
         432    -3.42735     -3.4256  0.00041635
         433    -3.42756    -3.42561 0.000415413
         434    -3.42732    -3.42561 0.000414474
         435    -3.42739    -3.42562 0.000413542
         436     -3.4273    -3.42562 0.000412611
         437    -3.42691    -3.42562 0.000411678
         438    -3.42698    -3.42563 0.000410749
         439    -3.42705    -3.42563 0.000409826
         440    -3.42697    -3.42563 0.000408906
         441    -3.42704    -3.42564 0.000407991
         442    -3.42741    -3.42564 0.000407088
         443    -3.42734    -3.42564 0.000406187
         444    -3.42711    -3.42565 0.000405286
         445    -3.42718    -3.42565  0.00040439
         446    -3.42726    -3.42565 0.000403499
         447    -3.42734    -3.42566 0.000402614
         448    -3.42726    -3.42566 0.000401731
         449    -3.42719    -3.42567 0.000400851
         450    -3.42772    -3.42567 0.000399986
         451    -3.42795    -3.42568 0.000399131
         452    -3.42803    -3.42568 0.000398282
         453     -3.4278    -3.42569  0.00039743
         454    -3.42788    -3.42569 0.000396584
         455    -3.42795    -3.42569 0.000395744
         456    -3.42757     -3.4257 0.000394897
         457    -3.42764     -3.4257 0.000394056
         458    -3.42771    -3.42571  0.00039322
         459    -3.42793    -3.42571 0.000392393
         460    -3.42799    -3.42572 0.000391572
         461    -3.42775    -3.42572 0.000390747
         462    -3.42781    -3.42573 0.000389928
         463    -3.42772    -3.42573 0.000389109
         464    -3.42762    -3.42573 0.000388292
         465    -3.42782    -3.42574 0.000387482
         466    -3.42816    -3.42574 0.000386686
         467    -3.42836    -3.42575 0.000385898
         468    -3.42869    -3.42576 0.000385125
         469    -3.42903    -3.42576 0.000384367
         470    -3.42906    -3.42577 0.000383613
         471    -3.42908    -3.42578 0.000382863
         472     -3.4294    -3.42579 0.000382129
         473    -3.42941    -3.42579 0.000381398
         474    -3.42957     -3.4258 0.000380676
         475    -3.42958    -3.42581 0.000379958
         476    -3.42957    -3.42582 0.000379242
         477    -3.42957    -3.42582 0.000378529
         478    -3.42956    -3.42583 0.000377817
         479    -3.42954    -3.42584 0.000377108
         480    -3.42937    -3.42585 0.000376394
         481    -3.42965    -3.42586 0.000375694
         482    -3.42947    -3.42586  0.00037499
         483    -3.42929    -3.42587 0.000374281
         484    -3.42956    -3.42588 0.000373585
         485    -3.42982    -3.42589 0.000372903
         486    -3.42993    -3.42589 0.000372229
         487    -3.43004     -3.4259 0.000371562
         488    -3.42968    -3.42591 0.000370881
         489    -3.42978    -3.42592 0.000370207
         490    -3.42988    -3.42593  0.00036954
         491    -3.42982    -3.42593 0.000368873
         492    -3.42961    -3.42594 0.000368199
         493    -3.42986    -3.42595 0.000367538
         494    -3.42995    -3.42596 0.000366883
         495    -3.42988    -3.42597 0.000366227
         496    -3.42997    -3.42597 0.000365578
         497     -3.4299    -3.42598 0.000364928
         498    -3.42969    -3.42599 0.000364271
         499    -3.42962      -3.426 0.000363613
         500     -3.4294      -3.426  0.00036295
         501    -3.42918    -3.42601 0.000362281
         502    -3.42896    -3.42602 0.000361607
         503     -3.4289    -3.42602 0.000360933
         504    -3.42898    -3.42603 0.000360265
         505    -3.42922    -3.42603 0.000359607
         506    -3.42945    -3.42604  0.00035896
         507    -3.42909    -3.42605 0.000358302
         508    -3.42902    -3.42605 0.000357644
         509    -3.42866    -3.42606 0.000356978
         510    -3.42844    -3.42606 0.000356309
         511    -3.42853    -3.42607 0.000355645
         512    -3.42832    -3.42607 0.000354977
         513    -3.42827    -3.42608 0.000354311
         514    -3.42806    -3.42608 0.000353643
         515    -3.42815    -3.42608 0.000352979
         516     -3.4284    -3.42609 0.000352324
         517    -3.42805    -3.42609 0.000351663
         518    -3.42845     -3.4261 0.000351013
         519     -3.4284     -3.4261 0.000350365
         520    -3.42836     -3.4261 0.000349718
         521    -3.42831    -3.42611 0.000349073
         522    -3.42827    -3.42611 0.000348428
         523    -3.42838    -3.42612 0.000347789
         524    -3.42849    -3.42612 0.000347155
         525    -3.42815    -3.42613 0.000346515
         526    -3.42796    -3.42613 0.000345874
         527    -3.42793    -3.42613 0.000345234
         528    -3.42774    -3.42614 0.000344594
         529    -3.42756    -3.42614 0.000343953
         530    -3.42738    -3.42614 0.000343312
         531    -3.42735    -3.42614 0.000342673
         532    -3.42702    -3.42614 0.000342033
         533    -3.42684    -3.42615 0.000341393
         534    -3.42696    -3.42615 0.000340758
         535    -3.42709    -3.42615 0.000340125
         536    -3.42707    -3.42615 0.000339495
         537     -3.4272    -3.42615 0.000338868
         538    -3.42718    -3.42615 0.000338244
         539    -3.42716    -3.42616 0.000337621
         540    -3.42729    -3.42616 0.000337003
         541    -3.42727    -3.42616 0.000336386
         542    -3.42711    -3.42616  0.00033577
         543    -3.42739    -3.42616 0.000335159
         544    -3.42738    -3.42617 0.000334551
         545    -3.42752    -3.42617 0.000333946
         546     -3.4275    -3.42617 0.000333343
         547    -3.42734    -3.42617 0.000332741
         548    -3.42718    -3.42618 0.000332138
         549    -3.42716    -3.42618 0.000331538
         550    -3.42715    -3.42618  0.00033094
         551    -3.42729    -3.42618 0.000330346
         552    -3.42728    -3.42618 0.000329753
         553    -3.42712    -3.42619 0.000329161
         554    -3.42696    -3.42619  0.00032857
         555     -3.4268    -3.42619  0.00032798
         556    -3.42664    -3.42619 0.000327391
         557    -3.42618    -3.42619 0.000326803
         558    -3.42617    -3.42619 0.000326218
         559    -3.42601    -3.42619 0.000325634
         560    -3.42585    -3.42619 0.000325053
         561    -3.42599    -3.42619 0.000324474
         562    -3.42643    -3.42619 0.000323897
         563    -3.42642    -3.42619 0.000323322
         564    -3.42656    -3.42619  0.00032275
         565    -3.42655    -3.42619 0.000322179
         566    -3.42684    -3.42619 0.000321612
         567    -3.42698    -3.42619 0.000321048
         568    -3.42682    -3.42619 0.000320484
         569    -3.42635    -3.42619 0.000319921
         570    -3.42634    -3.42619  0.00031936
         571    -3.42633    -3.42619 0.000318801
         572    -3.42601    -3.42619 0.000318244
         573    -3.42569    -3.42619 0.000317689
         574    -3.42583    -3.42619 0.000317137
         575    -3.42566    -3.42619 0.000316586
         576    -3.42534    -3.42619  0.00031604
         577    -3.42518    -3.42619 0.000315497
         578    -3.42531    -3.42619 0.000314955
         579    -3.42544    -3.42618 0.000314414
         580    -3.42542    -3.42618 0.000313874
         581     -3.4254    -3.42618 0.000313337
         582    -3.42553    -3.42618 0.000312801
         583    -3.42536    -3.42618 0.000312267
         584    -3.42564    -3.42618 0.000311734
         585    -3.42531    -3.42618 0.000311205
         586    -3.42514    -3.42618 0.000310679
         587    -3.42526    -3.42617 0.000310153
         588    -3.42539    -3.42617 0.000309629
         589    -3.42506    -3.42617 0.000309109
         590    -3.42518    -3.42617  0.00030859
         591    -3.42531    -3.42617 0.000308071
         592    -3.42513    -3.42617 0.000307555
         593    -3.42495    -3.42616 0.000307044
         594    -3.42462    -3.42616 0.000306538
         595    -3.42474    -3.42616 0.000306032
         596    -3.42441    -3.42616 0.000305532
         597    -3.42484    -3.42615 0.000305029
         598    -3.42496    -3.42615 0.000304525
         599    -3.42508    -3.42615 0.000304022
         600    -3.42475    -3.42615 0.000303524
         601    -3.42412    -3.42614 0.000303038
         602    -3.42409    -3.42614 0.000302554
         603    -3.42391    -3.42614 0.000302075
         604    -3.42328    -3.42613 0.000301612
         605     -3.4231    -3.42613 0.000301155
         606    -3.42307    -3.42612   0.0003007
         607    -3.42304    -3.42612 0.000300248
         608    -3.42347    -3.42611 0.000299785
         609    -3.42344    -3.42611 0.000299325
         610    -3.42327     -3.4261 0.000298871
         611    -3.42294     -3.4261 0.000298426
         612    -3.42307    -3.42609  0.00029798
         613     -3.4232    -3.42609 0.000297531
         614    -3.42333    -3.42608  0.00029708
         615    -3.42316    -3.42608 0.000296635
         616    -3.42299    -3.42607 0.000296196
         617    -3.42343    -3.42607 0.000295747
         618    -3.42341    -3.42607   0.0002953
         619     -3.4234    -3.42606 0.000294854
         620    -3.42338    -3.42606  0.00029441
         621    -3.42322    -3.42605 0.000293972
         622    -3.42321    -3.42605 0.000293535
         623    -3.42289    -3.42604 0.000293107
         624    -3.42289    -3.42604 0.000292681
         625    -3.42303    -3.42603 0.000292252
         626    -3.42317    -3.42603 0.000291821
         627    -3.42271    -3.42602 0.000291404
         628    -3.42256    -3.42602 0.000290992
         629     -3.4224    -3.42601 0.000290586
         630    -3.42225    -3.42601 0.000290186
         631    -3.42209      -3.426 0.000289793
         632    -3.42194    -3.42599 0.000289405
         633    -3.42209    -3.42599 0.000289014
         634    -3.42209    -3.42598 0.000288624
         635    -3.42224    -3.42598 0.000288229
         636    -3.42208    -3.42597 0.000287841
         637    -3.42193    -3.42596 0.000287459
         638    -3.42193    -3.42596 0.000287078
         639    -3.42193    -3.42595 0.000286698
         640    -3.42163    -3.42594 0.000286329
         641    -3.42148    -3.42594 0.000285967
         642    -3.42148    -3.42593 0.000285606
         643    -3.42148    -3.42592 0.000285246
         644    -3.42193    -3.42592 0.000284871
         645    -3.42193    -3.42591 0.000284496
         646    -3.42208     -3.4259 0.000284117
         647    -3.42238     -3.4259 0.000283731
         648    -3.42222    -3.42589 0.000283349
         649    -3.42237    -3.42589 0.000282965
         650    -3.42207    -3.42588 0.000282591
         651    -3.42206    -3.42588 0.000282217
         652    -3.42206    -3.42587 0.000281845
         653     -3.4219    -3.42586 0.000281479
         654    -3.42175    -3.42586 0.000281119
         655    -3.42204    -3.42585  0.00028075
         656    -3.42219    -3.42585 0.000280378
         657    -3.42158    -3.42584 0.000280026
         658    -3.42188    -3.42583 0.000279665
