#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         397    -5.45826     -5.4672 0.000881241
         398    -5.45855    -5.46718 0.000879294
         399     -5.4582    -5.46716 0.000877379
         400    -5.45816    -5.46714 0.000875473
         401    -5.45846    -5.46711 0.000873558
         402    -5.45842    -5.46709 0.000871652
         403    -5.45872    -5.46707 0.000869737
         404    -5.45869    -5.46705 0.000867832
         405    -5.45866    -5.46703 0.000865937
         406    -5.45895    -5.46701 0.000864033
         407    -5.45892    -5.46699 0.000862138
         408    -5.45857    -5.46697 0.000860273
         409    -5.45919    -5.46695  0.00085838
         410    -5.45981    -5.46693 0.000856463
         411    -5.45978    -5.46692 0.000854556
         412    -5.46073     -5.4669 0.000852614
         413     -5.4607    -5.46689 0.000850681
         414    -5.46035    -5.46687 0.000848773
         415    -5.46098    -5.46686 0.000846847
         416     -5.4603    -5.46684 0.000844957
         417    -5.45899    -5.46682 0.000843141
         418    -5.45864     -5.4668 0.000841351
         419    -5.45894    -5.46678 0.000839552
         420    -5.45989    -5.46677 0.000837714
         421    -5.45954    -5.46675   0.0008359
         422    -5.46017    -5.46673 0.000834064
         423    -5.46047    -5.46672 0.000832224
         424    -5.46078    -5.46671 0.000830379
         425    -5.46076    -5.46669 0.000828543
         426    -5.46074    -5.46668 0.000826716
         427    -5.46007    -5.46666 0.000824925
         428    -5.46038    -5.46665 0.000823128
         429    -5.46037    -5.46663 0.000821339
         430    -5.45971    -5.46662 0.000819587
         431    -5.46002     -5.4666 0.000817829
         432       -5.46    -5.46659 0.000816078
         433    -5.46064    -5.46657 0.000814309
         434    -5.46062    -5.46656 0.000812548
         435    -5.46061    -5.46655 0.000810795
         436    -5.46093    -5.46653 0.000809038
         437    -5.46092    -5.46652 0.000807289
         438    -5.46123    -5.46651 0.000805536
         439    -5.46155     -5.4665  0.00080378
         440    -5.46122    -5.46648 0.000802043
         441    -5.46154    -5.46647 0.000800303
         442    -5.46153    -5.46646  0.00079857
         443    -5.46186    -5.46645 0.000796835
         444    -5.46185    -5.46644 0.000795108
         445    -5.46153    -5.46643 0.000793398
         446    -5.46088    -5.46642 0.000791716
         447    -5.46089    -5.46641 0.000790042
         448    -5.46121    -5.46639 0.000788363
         449    -5.46089    -5.46638 0.000786702
         450     -5.4609    -5.46637 0.000785048
         451    -5.46123    -5.46636  0.00078339
         452    -5.46156    -5.46635 0.000781729
         453     -5.4619    -5.46634 0.000780065
         454    -5.46191    -5.46633 0.000778408
         455    -5.46225    -5.46632 0.000776749
         456    -5.46194    -5.46631 0.000775105
         457    -5.46228     -5.4663 0.000773459
         458    -5.46229    -5.46629  0.00077182
         459    -5.46167    -5.46628 0.000770204
         460    -5.46201    -5.46627 0.000768585
         461    -5.46171    -5.46626 0.000766982
         462    -5.46173    -5.46625 0.000765384
         463    -5.46175    -5.46624 0.000763793
         464    -5.46178    -5.46623 0.000762207
         465    -5.46116    -5.46622 0.000760646
         466    -5.46151    -5.46621 0.000759081
